Code,Resource,Status,Location,Inc#,Name
AA07LPF,Air Attack 07 N690RA,Avail Qtrs,14 LPF AIR ATTACK SMX,,
Admin7,Admin7,Out of Svc,03 LPF MPRD MISCELLANEOUS UNIT,,
Admin71,MPRD Admin,Out of Svc,03 LPF MPRD MISCELLANEOUS UNIT,,
Admin72,MPRD Admin,Out of Svc,03 LPF MPRD MISCELLANEOUS UNIT,,
BC11LPF,LPF Batt. 11 MRD,Avail Qtrs,03 LPF KING CITY STATION BC11,,
BC12LPF,LPF Batt. 12 MRD,Avail Qtrs,12 LPF BIG SUR STATION BC12,,
BC13LPF,Fuels BC,Out of Svc,03 LPF MRD MISCELLANEOUS UNIT,,
BC15LPF,MRD Swing Battalion,Out of Svc,12 LPF KING CITY STATION,,
BC24LPF,Air Attack,Out of Svc,03 LPF SO MISCELLANEOUS UNIT,,
BC32LPF ,LPF Batt. 32 SLRD,Avail Qtrs,05 LPF SANTA LUCIA BC32,,
BC33LPF,Fuels BC,Out of Svc,03 LPF SLRD MISCELLANEOUS UNIT,,
BC34LPF,LPF Batt.34 SLRD,Avail Qtrs,12 LPF SANTA LUCIA BC34,,
BC35LPF,SLRD Swing Battalion,Out of Svc,03 LPF SANTA MARIA OFFICE,,
BC41LPF,LPF Batt. 41 SBRD,Avail Qtrs,03 LPF SAN MARCOS STATION,,
BC42LPF,LPF Batt. 42 SBRD,Avail Qtrs,03 LPF LOS PRIETOS STATION,,
BC43LPF,Fuels BC,Out of Svc,03 LPF SBRD MISCELLANEOUS UNIT,,
BC45LPF,SBRD Swing Battalion,Out of Svc,03 LPF LOS PRIETOS STATION,,
BC51LPF,LPF Batt. 51 ORD,Avail Qtrs,09 LPF OJAI WEST BC51,,
BC52LPF,LPF Batt. 52 ORD,Avail Qtrs,09 LPF OJAI EAST BC52,,
BC53LPF,Fuels BC,Out of Svc,03 LPF ORD MISCELLANEOUS UNIT,,
BC55LPF,ORD Swing Battalion,Out of Svc,03 LPF OJAI STATION,,
BC71LPF,LPF Batt. 71 MPRD,Avail Qtrs,03 LPF CHUCHUPATE STATION,,
BC72LPF,LPF Batt. 72 MPRD,Avail Qtrs,11 LPF CHUCHUPATE STATION BC72,,
BC73LPF,Fuels BC,Out of Svc,03 LPF MPRD MISCELLANEOUS UNIT,,
BC75LPF,MPRD Swing Battalion,Out of Svc,03 LPF CHUCHUPATE STATION,,
BIO1,MRD Biologist,Out of Svc,03 LPF WHEELER GORGE STATION,,
BIO3,SLRD Biologist,Out of Svc,03 LPF SLRD MISCELLANEOUS UNIT,,
BIO7,MPRD Biologist,Out of Svc,03 LPF MPRD MISCELLANEOUS UNIT,,
CH1LPF,LPF Forest FMO,Out of Svc,03 LPF SO MISCELLANEOUS UNIT,,
CH2LPF,LPF Forest DeputyFMO,Out of Svc,03 LPF SO MISCELLANEOUS UNIT,,
CH3LPF,Deputy Forest FMO,Out of Svc,03 LPF SO MISCELLANEOUS UNIT,,
Cpt7KA,HB-7KA Captain,Out of Svc,03 LPF CASITAS STATION,,
CRW13LPF,MRD Fuels SMOD,Out of Svc,03 LPF MRD MISCELLANEOUS UNIT,,
CRW1LPF,Ventana IHC,Avail Qtrs,21 LPF CAMP ROBERTS,,
CRW33LPF,SLRD Fuels SMOD,Out of Svc,03 LPF SLRD MISCELLANEOUS UNIT,,
CRW3LPF,Arroyo Grande IHC,Avail Qtrs,03 LPF ARROYO GRANDE STATION,,
CRW43LPF,SBRD Fuels SMOD,Out of Svc,03 LPF SBRD MISCELLANEOUS UNIT,,
CRW4LPF,Los Padres IHC,Avail Qtrs,03 LPF LOS PRIETOS STATION,,
CRW527LPF,TYPE 2 CREW,Out of Svc,03 LPF ARROYO GRANDE STATION,,
CRW528LPF,TYPE 2 CREW,Avail Qtrs,03 LPF SANTA YNEZ AIRPORT,,
CRW530LPF,TYPE 2 CREW,Committed,03 LPF CHUCHUPATE STATION,CALPF-303,Tecuya Ridge RX
CRW53LPF,ORD Fuels SMOD,Out of Svc,03 LPF ORD MISCELLANEOUS UNIT,,
CRW73LPF,MPRD Fuels SMOD,Out of Svc,03 LPF MPRD MISCELLANEOUS UNIT,,
CRW7LPF,Santa Lucia T2 Crew,Out of Svc,03 LPF SANTA MARIA OFFICE,,
CRW8LPF,Sundowners T2 Crew,Out of Svc,03 LPF CASITAS STATION,,
Deputy Forest Sup,DEPUTY FOREST SUP,Out of Svc,03 LPF SO MISCELLANEOUS UNIT,,
DIV1LPF,LPF Division 1 MRD,Avail Qtrs,12 LPF KING CITY STATION DIV1,,
DIV2LPF,DIV2LPF,Out of Svc,03 LPF SANTA YNEZ AIRPORT,,
DIV3LPF,LPF Division 3 SLRD,Avail Qtrs,03 LPF SANTA MARIA OFFICE,,
DIV4LPF,LPF Division 4 SBRD,Avail Qtrs,03 LPF LOS PRIETOS STATION,,
DIV5LPF,LPF Division 5 ORD,Out of Svc,03 LPF OJAI STATION,,
DIV7LPF,LPF Division 7 MPRD,Avail Qtrs,03 LPF CHUCHUPATE STATION,,
DIV91LPF,Fuels DIV,Out of Svc,03 LPF MRD MISCELLANEOUS UNIT,,
DIV93LPF,Fuels DIV,Out of Svc,03 LPF FIGUEROA STATION,,
DIV94LPF,Fuels DIV,Out of Svc,03 LPF SBRD MISCELLANEOUS UNIT,,
DIV95LPF,Fuels DIV,Out of Svc,03 LPF ORD MISCELLANEOUS UNIT,,
DIV97LPF,Fuels DIV,Out of Svc,03 LPF MPRD MISCELLANEOUS UNIT,,
DOZ13LPF,MRD Fuels Dozer,Out of Svc,03 LPF MRD MISCELLANEOUS UNIT,,
DOZ33LPF,SLRD Fuels Dozer,Out of Svc,03 LPF SLRD MISCELLANEOUS UNIT,,
DOZ3LPF,LPF Dozer 3,Available,03 LPF SANTA YNEZ AIRPORT,,
DOZ43LPF,SBRD Fuels Dozer,Out of Svc,03 LPF SBRD MISCELLANEOUS UNIT,,
DOZ4LPF,LPF Dozer 4,Avail Qtrs,03 LPF LOS PRIETOS STATION,,
DOZ53,ORD Fuels Dozer,Out of Svc,03 LPF ORD MISCELLANEOUS UNIT,,
